               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.017993,           0.0073788,           0.0036406,             0.99718,             0.99855,               0.995,              0.8256,            0.010238,           0.0033449,          0.00092658,            0.006535,            0.006535,            0.006535
                  37,            0.019255,           0.0079078,           0.0033468,             0.99654,             0.99867,               0.995,             0.83418,           0.0090209,           0.0033259,          0.00083522,            0.006436,            0.006436,            0.006436
                  38,            0.018603,           0.0075104,           0.0030505,             0.99714,             0.99898,               0.995,             0.86995,           0.0077766,           0.0031914,          0.00097158,            0.006337,            0.006337,            0.006337
                  39,             0.01661,           0.0069592,           0.0031384,             0.99716,             0.99898,               0.995,             0.85482,           0.0082479,            0.003145,          0.00083783,            0.006238,            0.006238,            0.006238
                  40,            0.016668,           0.0069843,           0.0031481,             0.99717,             0.99883,               0.995,             0.86516,           0.0098573,           0.0031531,          0.00085719,            0.006139,            0.006139,            0.006139
                  41,            0.017583,           0.0074558,            0.002762,             0.99665,             0.99868,               0.995,             0.86545,           0.0075346,           0.0030751,            0.000825,             0.00604,             0.00604,             0.00604
                  42,            0.016841,           0.0069189,           0.0025528,             0.99726,              0.9993,               0.995,             0.85923,           0.0073371,            0.003039,          0.00094423,            0.005941,            0.005941,            0.005941
                  43,            0.017442,           0.0073047,            0.003502,             0.99759,             0.99845,               0.995,              0.8628,           0.0078723,           0.0031166,          0.00089455,            0.005842,            0.005842,            0.005842
                  44,            0.016563,           0.0074115,           0.0031522,             0.99753,              0.9995,               0.995,             0.87451,           0.0079615,           0.0029612,          0.00068803,            0.005743,            0.005743,            0.005743
                  45,            0.016163,            0.007281,           0.0027787,             0.99878,             0.99884,               0.995,             0.87782,           0.0081143,           0.0030092,          0.00080033,            0.005644,            0.005644,            0.005644
                  46,            0.016139,           0.0072038,           0.0027112,             0.99881,             0.99829,               0.995,             0.87729,           0.0075385,           0.0029997,          0.00082338,            0.005545,            0.005545,            0.005545
                  47,            0.016619,           0.0071831,           0.0027812,             0.99765,             0.99811,               0.995,             0.84604,           0.0087403,           0.0030263,           0.0007241,            0.005446,            0.005446,            0.005446
                  48,            0.015446,           0.0067671,           0.0030413,             0.99761,             0.99928,               0.995,             0.86549,            0.007948,            0.002934,          0.00068474,            0.005347,            0.005347,            0.005347
                  49,            0.014912,           0.0069431,           0.0022128,             0.99842,                   1,               0.995,             0.86994,           0.0087666,           0.0029707,          0.00069122,            0.005248,            0.005248,            0.005248
                  50,              0.0157,           0.0068809,           0.0028029,             0.99762,                   1,               0.995,             0.87559,           0.0073683,           0.0028339,          0.00070858,            0.005149,            0.005149,            0.005149
                  51,            0.015268,           0.0067862,           0.0024877,             0.99793,             0.99952,               0.995,             0.90273,           0.0066453,           0.0028788,          0.00074755,             0.00505,             0.00505,             0.00505
                  52,            0.015377,            0.006681,           0.0023198,             0.99749,             0.99942,               0.995,             0.87671,           0.0078475,           0.0028795,          0.00068468,            0.004951,            0.004951,            0.004951
                  53,            0.015503,           0.0063844,           0.0025918,             0.99746,             0.99972,               0.995,             0.86284,            0.008004,           0.0028979,          0.00063508,            0.004852,            0.004852,            0.004852
                  54,            0.014749,           0.0065357,           0.0024693,             0.99839,             0.99923,               0.995,             0.90134,           0.0073741,           0.0027529,          0.00079057,            0.004753,            0.004753,            0.004753
                  55,            0.014699,           0.0066418,           0.0025432,             0.99881,             0.99857,               0.995,             0.90156,           0.0068245,           0.0026808,          0.00067628,            0.004654,            0.004654,            0.004654
                  56,            0.014756,           0.0069555,           0.0023616,             0.99886,             0.99838,               0.995,             0.88104,           0.0075064,            0.002789,          0.00057848,            0.004555,            0.004555,            0.004555
                  57,            0.014658,           0.0066403,           0.0033945,             0.99854,             0.99848,               0.995,             0.90226,           0.0065742,           0.0026596,           0.0006054,            0.004456,            0.004456,            0.004456
                  58,            0.013483,           0.0062126,           0.0026223,             0.99753,             0.99962,               0.995,             0.88258,           0.0078793,           0.0028133,          0.00054905,            0.004357,            0.004357,            0.004357
                  59,            0.013744,           0.0065217,           0.0026021,             0.99822,             0.99969,               0.995,             0.91289,           0.0060404,           0.0026552,          0.00052394,            0.004258,            0.004258,            0.004258
                  60,            0.012935,           0.0062484,           0.0017671,             0.99789,             0.99964,               0.995,              0.9004,           0.0062231,           0.0026277,          0.00051758,            0.004159,            0.004159,            0.004159
                  61,            0.013801,           0.0065892,           0.0017684,             0.99832,             0.99839,               0.995,             0.90723,           0.0062763,           0.0026313,          0.00054129,             0.00406,             0.00406,             0.00406
                  62,            0.012802,           0.0062927,           0.0016968,              0.9985,             0.99838,               0.995,             0.90496,           0.0060154,           0.0026633,          0.00055652,            0.003961,            0.003961,            0.003961
                  63,             0.01295,           0.0062601,           0.0016725,             0.99655,                   1,               0.995,             0.90395,           0.0060245,           0.0025708,           0.0005524,            0.003862,            0.003862,            0.003862
                  64,            0.013434,            0.006273,           0.0020949,             0.99609,             0.99992,               0.995,             0.90262,           0.0056494,           0.0025917,           0.0005318,            0.003763,            0.003763,            0.003763
                  65,            0.012774,           0.0058836,           0.0026097,             0.99688,             0.99942,               0.995,             0.91939,           0.0058674,           0.0025798,          0.00055572,            0.003664,            0.003664,            0.003664
                  66,            0.012095,           0.0059777,           0.0018481,             0.99816,             0.99843,               0.995,             0.90398,           0.0065575,            0.002632,          0.00050259,            0.003565,            0.003565,            0.003565
                  67,            0.012771,           0.0062995,           0.0018853,             0.99659,                   1,               0.995,             0.91436,           0.0056017,           0.0025216,          0.00046911,            0.003466,            0.003466,            0.003466
                  68,            0.012458,           0.0061228,           0.0020112,             0.99642,             0.99852,               0.995,              0.9139,           0.0058531,           0.0025686,          0.00045299,            0.003367,            0.003367,            0.003367
                  69,            0.012001,           0.0058937,           0.0018513,             0.99664,             0.99835,               0.995,             0.91724,           0.0058521,           0.0025788,          0.00043472,            0.003268,            0.003268,            0.003268
                  70,            0.012186,           0.0060221,           0.0020332,             0.99692,              0.9998,               0.995,             0.91539,           0.0056639,           0.0024725,          0.00041499,            0.003169,            0.003169,            0.003169
                  71,            0.012173,           0.0058841,           0.0025668,             0.99661,                   1,               0.995,              0.9218,           0.0051586,           0.0024448,          0.00042994,             0.00307,             0.00307,             0.00307
                  72,            0.011834,           0.0057235,           0.0017452,             0.99764,             0.99971,               0.995,             0.91515,           0.0057699,           0.0024979,          0.00042822,            0.002971,            0.002971,            0.002971
